relative_path,bytes,v10_sha256,v14_sha256,match
tw66gw02/BSP/battery_level.c,6493,3a119978004d7d1e9bc8253493ff9f6be67044a6434e12889193ea4e301574fb,3a119978004d7d1e9bc8253493ff9f6be67044a6434e12889193ea4e301574fb,True
tw66gw02/BSP/battery_level.h,1184,b0fe7f6466ccfcfdd043222cc979a34e2d988e4762476bcffa5310f34327337e,b0fe7f6466ccfcfdd043222cc979a34e2d988e4762476bcffa5310f34327337e,True
tw66gw02/BSP/bh66f5242.c,2017,c49c8c8420a7d54268a294fb74b6a3bd28c0ca671e7b264dbfb674ef9ffb6add,c49c8c8420a7d54268a294fb74b6a3bd28c0ca671e7b264dbfb674ef9ffb6add,True
tw66gw02/BSP/bh66f5242.h,3461,338f96fc3aca20c9919e169c22856e0e16bf1bf6686c3f40e156d346b059b25c,338f96fc3aca20c9919e169c22856e0e16bf1bf6686c3f40e156d346b059b25c,True
tw66gw02/BSP/buzz.c,755,d4f658cb8fa348122e1fab443de517ad8c024de4a437008405fe303152759786,d4f658cb8fa348122e1fab443de517ad8c024de4a437008405fe303152759786,True
tw66gw02/BSP/buzz.h,370,d6a06eefb3c8d251b1133e5566fbde0a2ba29bb5717e1d67e100e65d91f0662a,d6a06eefb3c8d251b1133e5566fbde0a2ba29bb5717e1d67e100e65d91f0662a,True
tw66gw02/BSP/config.h,4997,1ac1f0a367a7d433c9cef567d3cc1e4a261842059020a80b21bae4cdd3cc4f76,1ac1f0a367a7d433c9cef567d3cc1e4a261842059020a80b21bae4cdd3cc4f76,True
tw66gw02/BSP/key.c,7781,60176aa30184187f18d0418f1007a54e1849addd6c024a66b0bd60852f11909a,60176aa30184187f18d0418f1007a54e1849addd6c024a66b0bd60852f11909a,True
tw66gw02/BSP/key.h,1161,4c52e123eb6fea0d9635fd338c1a66fc0fa52d4c3ab786ead92822d0a2f01edc,4c52e123eb6fea0d9635fd338c1a66fc0fa52d4c3ab786ead92822d0a2f01edc,True
tw66gw02/BSP/ota_layout.h,2978,a18034ebfbe219c45718f32b42d889973e6c7d5dd4ef64f4257adcfe75cfc855,a18034ebfbe219c45718f32b42d889973e6c7d5dd4ef64f4257adcfe75cfc855,True
tw66gw02/BSP/screen_c8721.c,11935,6cdd1853846d18473871e4fe758c7bec47db06bce913b9ade2c4ba160bb7bd6e,6cdd1853846d18473871e4fe758c7bec47db06bce913b9ade2c4ba160bb7bd6e,True
tw66gw02/BSP/screen_c8721.h,4145,146a83ab868c7d505338e46546d6e472feaaae6a76f4acdd0c9ec2e2601e17eb,146a83ab868c7d505338e46546d6e472feaaae6a76f4acdd0c9ec2e2601e17eb,True
tw66gw02/BSP/temp.c,27002,e16b89dd44fb07e9a6c9261a733718a3a005adb55afa8c506daeecaf9b2b6889,e16b89dd44fb07e9a6c9261a733718a3a005adb55afa8c506daeecaf9b2b6889,True
