snapshot,relative_path,workspace_path,bytes,sha256,normalized_sha256,normalization
main,BuildOtaArtifacts.ps1,BuildOtaArtifacts.ps1,9218,89c1d391d7621e4328c521fd3e95ad9c322bdd28f1e3e36ceb2a713ee9261d28,89c1d391d7621e4328c521fd3e95ad9c322bdd28f1e3e36ceb2a713ee9261d28,utf-8 BOM/newlines normalized
main,BuildStartupDiagnostic.ps1,BuildStartupDiagnostic.ps1,4414,d34959753ed8bbe7ad110347269c057b74de2d46dd5ab70754f839a09ea57407,d34959753ed8bbe7ad110347269c057b74de2d46dd5ab70754f839a09ea57407,utf-8 BOM/newlines normalized
main,COP/gagent_md5.c,COP/gagent_md5.c,7411,7c7435c58508a6299040acb0de43aaef02c798973e1653a93b222dbfe0b28044,ed234d99364aa6e3135ad9447000855498d65da999ffcfb77405287d4fa105a0,utf-8 BOM/newlines normalized
main,COP/gagent_md5.h,COP/gagent_md5.h,1552,34f858b2b2f755822bc98fb0389f6f5225448987e033a9d0826f4a6ba655440a,cf5aa41999f60dfee750aaf2e88bb4db90872471ef505b52a55dad1c836ebb7f,utf-8 BOM/newlines normalized
main,COP/idle.c,COP/idle.c,695,1653bfc080f1c1638400c71d2f38038ce53a579e7c80a9318650395e058b73a5,6cf1cfed7cf27006d532fb9a4ebfbc64af64bf1b79f8bee704c12cc780bc52aa,utf-8 BOM/newlines normalized
main,COP/idle.h,COP/idle.h,401,a6cbdb71de115f0709a8f21967e33e6ba5a167b0ade7c5fc6a8f55b5894d6870,b14b5b2fb4b67f3ad1986ebebd5b1c19e57bef70712ffff1ae7c3a5b4d9820c3,utf-8 BOM/newlines normalized
main,COP/main_control.c,COP/main_control.c,31234,f122cea871413a937c84d8126fa627352c8098141cc8a7140331afcfc327a89d,f122cea871413a937c84d8126fa627352c8098141cc8a7140331afcfc327a89d,utf-8 BOM/newlines normalized
main,COP/main_control.h,COP/main_control.h,2128,dc7752e731cc0602547c63338571ff1db080445f32d1fa450240bfd31f2b01d9,a5915bb7e7e7d663a9224eb522fb2af3ede93e5109b1e2f3dacebb92b0504145,utf-8 BOM/newlines normalized
main,COP/ota.c,COP/ota.c,9857,e5a7e011b7ce278b6a1062ffebf0318c828b19f51f4b14a405e002776d453740,cec6884c0a29bfda166e13a591c0da7dda0744e0f45be0c31f4cd1cb40c17036,utf-8 BOM/newlines normalized
main,COP/ota.h,COP/ota.h,1552,a91dcf468bb37197fcbdf1b7f80bbff4941a97769c625455bd274d6fa1507d98,045d94ea29d8bcb1b69af43b6eefacad61c7a63dd83c692a22128e5ca31ff7b8,utf-8 BOM/newlines normalized
main,COP/ota_boot.c,COP/ota_boot.c,1905,4dd3678ceff56d6c1db45c8fa0cbafdc1720b5c4437fa944a4a74ff5e194a82d,4dd3678ceff56d6c1db45c8fa0cbafdc1720b5c4437fa944a4a74ff5e194a82d,utf-8 BOM/newlines normalized
main,COP/ota_boot.h,COP/ota_boot.h,191,19a6c7f2ccbf1d4c1ce9075b724d54645540fb94c2765118c0fb4623547bac30,19a6c7f2ccbf1d4c1ce9075b724d54645540fb94c2765118c0fb4623547bac30,utf-8 BOM/newlines normalized
main,COP/ota_update.c,COP/ota_update.c,11074,8fd276a2cb1c1ca211336c9a4cb3c1a7c06c9cb2c50a33e0d3961e727a2b9446,8fd276a2cb1c1ca211336c9a4cb3c1a7c06c9cb2c50a33e0d3961e727a2b9446,utf-8 BOM/newlines normalized
main,COP/ota_update.h,COP/ota_update.h,303,7dc0a910c841b2f3dd7894c4c701a02d1cd2d598500bcd5fabcdfee477c87b3e,7dc0a910c841b2f3dd7894c4c701a02d1cd2d598500bcd5fabcdfee477c87b3e,utf-8 BOM/newlines normalized
main,COP/pid.c,COP/pid.c,3340,2cd7d229d6234e952a7c0a99d2a2ca83084bf750cb8cddcab47ac0fabc1566f5,0519b524bc670c71041b9be00414b41b27a977f22ea8447db250d57c03d71b1c,utf-8 BOM/newlines normalized
main,COP/pid.h,COP/pid.h,935,0707bc51d0416321d93d3b78e1ee1feca7176b5ed1bddcb35576241e1ae164f1,d23fa6f0d8a207fd220934168bd46c94da3d2a8dcfbc6ccda675704ddf7530b2,utf-8 BOM/newlines normalized
main,COP/run.c,COP/run.c,1591,15ad04788f186e0d60faf5a6be70d2209067f033cf9ca30a0482be615bf79b1a,1212716cc3a01265760ff946a540fa0a5068126b8267e3d13c6424a6c489b4ba,utf-8 BOM/newlines normalized
main,COP/run.h,COP/run.h,397,ea440535e18edbd07c88b6bf689e32eb0be5dd997f29aa6dc68698a86db5713f,3a36a73e94b31f168dc86d99a61eaca594dda1b4c0c26464e06e456e3bb446a2,utf-8 BOM/newlines normalized
main,COP/set.c,COP/set.c,842,57cde9f0a5dbc1bad14e16bf2b615d8457b3ee428995e06e5f60093f1db1d41a,b515d438b4e823f0ebeffa59edf623d0659c2cf953d71535a10b397ff261e30b,utf-8 BOM/newlines normalized
main,COP/set.h,COP/set.h,414,1339a678a5a607baf0678eeab5f7c98ec136d99f27e4b119b3b4f252e655b348,9b53f84b02c227e690f7b1bbd2d7cd7426887f28fabe12a4f40c0f16e2f107ab,utf-8 BOM/newlines normalized
main,COP/shutdown.c,COP/shutdown.c,1267,e5165813723b5271871e38a1b25a30f2f6d5f33711c651a0b0240c957b80d072,e2dfca1cf6e8c7b57b6e5a7b3b2624766b7b788d22829b925bd1df7fa7427e9f,utf-8 BOM/newlines normalized
main,COP/shutdown.h,COP/shutdown.h,448,89a9f886d3843504796942195f858eeb3b241a7bca4f6ac4b98b0b90851d2cc1,34ab3b0a1a416c32849704c56494f346507d615b45145bd1d6c9aebb85fd91a2,utf-8 BOM/newlines normalized
main,COP/start_up.c,COP/start_up.c,1774,1780bca013991de3da40cfcd0bab052b2ce32091234965abfe42e9da72b68ab4,607b34916f09a1cb17d2188d5baaf2841cc63e385c27746cf6e5f72a45af1800,utf-8 BOM/newlines normalized
